productName,productUrl,time
MS 170,/products/chain-saws/homeowner-saws/ms170/,2018-08-16 22:29:46.086314
FS 56 RC-E,/products/trimmers-and-brushcutters/homeowner-trimmers/fs56rce/,2018-08-16 22:29:46.086354
MS 271 FARM BOSS®,/products/chain-saws/farm-and-ranch-saws/ms271/,2018-08-16 22:29:46.086368
MS 250,/products/chain-saws/homeowner-saws/ms250/,2018-08-16 22:29:46.086380
BR 600,/products/blowers-and-shredder-vacs/professional-blowers/br600/,2018-08-16 22:29:46.086391
BG 56 C-E,/products/blowers-and-shredder-vacs/homeowner-blowers/bg56ce/,2018-08-16 22:29:46.086402
MS 180 C-BE,/products/chain-saws/homeowner-saws/ms180cbe/,2018-08-16 22:29:46.086413
FS 40 C-E,/products/trimmers-and-brushcutters/homeowner-trimmers/fs40ce/,2018-08-16 22:29:46.086424
BG 50,/products/blowers-and-shredder-vacs/homeowner-blowers/bg50/,2018-08-16 22:29:46.086435
MS 251 WOOD BOSS®,/products/chain-saws/homeowner-saws/ms251/,2018-08-16 22:29:46.086446
MS 251 C-BE,/products/chain-saws/homeowner-saws/ms251cbe/,2018-08-16 22:29:46.086457
MS 391,/products/chain-saws/farm-and-ranch-saws/ms391/,2018-08-16 22:29:46.086467
